"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","CONFLICT_STATUS","DATA_FEED","COUNT_STATUS_PER_FEED"
1,2020,1,2020,"IGNORED","NK",62
1,2020,3,2020,"IGNORED","PI_AM",7
1,2020,6,2020,"MANUAL UPDATE","PI_GA",1
1,2020,3,2020,"IGNORED","HRV",1
1,2020,2,2020,"IGNORED","TU",1
1,2020,1,2020,"IGNORED","VCT",5
1,2020,,,"PENDING","VCT",4
1,2020,7,2020,"MANUAL UPDATE","BV",1
1,2020,9,2020,"IGNORED","BV",1
1,2020,4,2020,"MANUAL UPDATE","BV",11
1,2020,1,2020,"IGNORED","TUV",3
1,2020,,,"PENDING","DB",1
1,2020,9,2020,"IGNORED","DMA",1
1,2020,4,2020,"MANUAL UPDATE","PH",3
1,2020,2,2020,"MANUAL UPDATE","GEO",2
1,2020,3,2020,"IGNORED","CS",12
1,2020,3,2020,"MANUAL UPDATE","CS",4
1,2020,5,2020,"IGNORED","CS",1
1,2020,,,"PENDING","IR",1
1,2020,2,2020,"MANUAL UPDATE","IR",2
1,2020,8,2020,"MANUAL UPDATE","VN",1
1,2020,1,2020,"IGNORED VALUE","PI_JS",2
1,2020,2,2020,"IGNORED","KR",3
1,2020,4,2020,"MANUAL UPDATE","NG",6
1,2020,,,"PENDING","NG",7
1,2020,,,"PENDING","VUT",3
1,2020,1,2020,"MANUAL UPDATE","FRA",1
1,2020,1,2020,"IGNORED","IR",11
1,2020,5,2020,"MANUAL UPDATE","MHL",1
1,2020,5,2020,"IGNORED","GIBSONS",3
1,2020,,,"PENDING","CM",2
1,2020,2,2020,"MANUAL UPDATE","AMSA",3
1,2020,6,2020,"MANUAL UPDATE","COK",2
1,2020,1,2020,"IGNORED","GRC",2
1,2020,1,2020,"IGNORED","KP",4
1,2020,5,2020,"MANUAL UPDATE","KR",1
2,2020,7,2020,"IGNORED","BV",1
2,2020,2,2020,"IGNORED","PI_ST",37
2,2020,2,2020,"IGNORED","PI_NE",8
2,2020,2,2020,"IGNORED","HV",1
2,2020,2,2020,"IGNORED","IR",25
2,2020,3,2020,"IGNORED","VUT",2
2,2020,3,2020,"IGNORED","MHL",3
2,2020,2,2020,"IGNORED","MHL",14
2,2020,3,2020,"IGNORED","AMSA",6
2,2020,,,"PENDING","DMA",2
2,2020,,,"PENDING","NB",2
2,2020,2,2020,"MANUAL UPDATE","LBR",6
