"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_IGNORED"
1,2020,1,2020,"PI_ST",25
1,2020,1,2020,"NG",82
1,2020,1,2020,"BV",91
1,2020,2,2020,"PI_GA",40
1,2020,3,2020,"CUW",1
1,2020,1,2020,"VCT",5
1,2020,3,2020,"DB",3
1,2020,4,2020,"PH",2
1,2020,2,2020,"PH",2
1,2020,5,2020,"CS",1
1,2020,3,2020,"IR",2
1,2020,1,2020,"CAN",1
1,2020,1,2020,"BLZ",5
1,2020,9,2020,"PI_SM",1
1,2020,3,2020,"BLACKSEA",155
1,2020,1,2020,"KIR",1
2,2020,8,2020,"PI_AM",1
2,2020,2,2020,"RINA",62
2,2020,2,2020,"PI_GA",20
2,2020,2,2020,"BLACKSEA",13
2,2020,2,2020,"TU",9
2,2020,6,2020,"PI_WE",3
2,2020,2,2020,"GIB",1
2,2020,2,2020,"VN",14
2,2020,4,2020,"IB",1
2,2020,8,2020,"TUR",5
2,2020,8,2020,"AMSA",1
2,2020,2,2020,"MLT",1
2,2020,4,2020,"HRV",1
3,2020,3,2020,"BLZ",6
3,2020,3,2020,"VUT",8
3,2020,3,2020,"AMSA",11
3,2020,8,2020,"VUT",1
3,2020,3,2020,"TGO",11
3,2020,4,2020,"NK",1
3,2020,9,2020,"PI_WE",17
3,2020,4,2020,"NG",6
3,2020,5,2020,"CS",1
3,2020,10,2020,"CS",1
3,2020,8,2020,"NG",9
3,2020,3,2020,"DB",16
3,2020,6,2020,"GIBSONS",1
3,2020,3,2020,"PI_CA",2
3,2020,6,2020,"MHL",1
4,2020,9,2020,"LBR",6
4,2020,8,2020,"LBR",4
4,2020,6,2020,"LBR",2
4,2020,5,2020,"VUT",2
4,2020,8,2020,"AMSA",1
4,2020,4,2020,"GIB",1
4,2020,9,2020,"NK",7
4,2020,5,2020,"NK",1
4,2020,8,2020,"PI_WE",16
4,2020,7,2020,"TU",3
4,2020,9,2020,"IR",1
4,2020,8,2020,"NIS",2
4,2020,8,2020,"KR",1
4,2020,9,2020,"KR",1
4,2020,10,2020,"PI_SK",2
4,2020,12,2020,"PI_SK",2
4,2020,8,2020,"NG",11
4,2020,4,2020,"CYP",2
4,2020,9,2020,"PI_SM",7
4,2020,9,2020,"CS",8
4,2020,4,2020,"CAN",3
4,2020,5,2020,"AMSA",1
5,2020,5,2020,"PLW",4
5,2020,9,2020,"LBR",3
5,2020,5,2020,"COK",1
5,2020,5,2020,"PI_SM",16
5,2020,6,2020,"NB",1
5,2020,9,2020,"BLACKSEA",31
5,2020,6,2020,"PI_WE",9
5,2020,6,2020,"NIS",1
5,2020,7,2020,"PI_ST",2
5,2020,8,2020,"VN",1
5,2020,8,2020,"NK",2
5,2020,8,2020,"AMSA",2
5,2020,5,2020,"DMA",1
5,2020,8,2020,"PI_SM",3
5,2020,6,2020,"AMSA",1
5,2020,8,2020,"TGO",1
6,2020,7,2020,"PI_AM",1
6,2020,6,2020,"DB",2
6,2020,6,2020,"MLT",5
6,2020,6,2020,"PI_GA",6
6,2020,6,2020,"NK",26
6,2020,9,2020,"NK",2
6,2020,8,2020,"VN",1
6,2020,8,2020,"CS",3
6,2020,9,2020,"KR",7
6,2020,6,2020,"KI",147
6,2020,9,2020,"KI",275
6,2020,8,2020,"KI",21
6,2020,12,2020,"PI_SM",1
6,2020,7,2020,"PI_SM",1
6,2020,7,2020,"RINA",8
6,2020,9,2020,"MHL",2
6,2020,7,2020,"FRO",1
6,2020,9,2020,"UKR",5
6,2020,12,2020,"UKR",1
6,2020,10,2020,"PI_GA",1
7,2020,9,2020,"LBR",6
7,2020,8,2020,"LBR",2
7,2020,10,2020,"BLACKSEA",63
7,2020,12,2020,"BLACKSEA",3
7,2020,9,2020,"PI_AM",2
7,2020,7,2020,"KI",15
7,2020,7,2020,"TGO",4
7,2020,7,2020,"PI_GA",19
7,2020,9,2020,"NB",1
7,2020,9,2020,"PI_SK",7
7,2020,8,2020,"PI_WE",7
7,2020,9,2020,"PI_WE",10
7,2020,11,2020,"CS",5
7,2020,10,2020,"CUW",2
7,2020,7,2020,"TU",2
7,2020,7,2020,"COK",3
7,2020,8,2020,"VUT",1
7,2020,8,2020,"PI_ST",20
7,2020,7,2020,"PLW",3
7,2020,10,2020,"MHL",1
7,2020,8,2020,"PI_SM",1
7,2020,8,2020,"GIBSONS",1
7,2020,9,2020,"GIBSONS",3
7,2020,7,2020,"RS",2
7,2020,12,2020,"VCT",1
8,2020,8,2020,"PI_SM",10
8,2020,2,2021,"BV",1
8,2020,11,2020,"CS",5
8,2020,12,2020,"CS",5
8,2020,11,2020,"BLACKSEA",12
8,2020,11,2020,"TUR",2
8,2020,8,2020,"MLT",5
8,2020,11,2020,"PI_WE",5
8,2020,10,2020,"PI_JS",3
8,2020,9,2020,"PI_ST",9
8,2020,10,2020,"GIB",1
8,2020,9,2020,"PLW",1
8,2020,11,2020,"VDM",22
9,2020,9,2020,"NK",36
9,2020,10,2020,"BV",42
9,2020,1,2021,"VCT",1
9,2020,10,2020,"PI_SC",61
9,2020,10,2020,"BLACKSEA",23
9,2020,10,2020,"PI_GA",16
9,2020,12,2020,"PI_SM",4
9,2020,12,2020,"TUR",5
9,2020,9,2020,"TUR",5
9,2020,9,2020,"AB",2
9,2020,12,2020,"GIB",1
9,2020,10,2020,"MLT",2
9,2020,11,2020,"PI_JS",1
9,2020,9,2020,"MLT",2
9,2020,11,2020,"GIBSONS",1
9,2020,9,2020,"GHOST_VESSEL",1
9,2020,10,2020,"PH",3
9,2020,12,2020,"FRO",2
9,2020,12,2020,"NG",22
9,2020,10,2020,"NG",36
10,2020,12,2020,"PI_GA",11
10,2020,10,2020,"CS",31
10,2020,12,2020,"PI_SC",2
10,2020,11,2020,"PI_SC",1
10,2020,1,2021,"PI_WE",1
10,2020,11,2020,"ECU",4
10,2020,11,2020,"AMSA",5
10,2020,12,2020,"PI_ST",2
10,2020,11,2020,"CS",1
10,2020,10,2020,"VN",2
10,2020,10,2020,"GEO",5
10,2020,10,2020,"BK",2
10,2020,11,2020,"BLACKSEA",91
10,2020,10,2020,"DB",3
11,2020,11,2020,"CS",16
11,2020,12,2020,"LBR",9
11,2020,11,2020,"NG",12
11,2020,11,2020,"MLT",4
11,2020,12,2020,"CS",2
11,2020,11,2020,"VZ",1
11,2020,12,2020,"AMSA",1
11,2020,1,2021,"PI_BR",1
12,2020,12,2020,"BV",53
12,2020,12,2020,"MHL",29
12,2020,12,2020,"DB",8
12,2020,1,2021,"PI_SC",1
12,2020,12,2020,"KP",5
12,2020,12,2020,"TU",4
12,2020,12,2020,"NB",1
12,2020,1,2021,"PLW",1
12,2020,1,2021,"PI_SK",1
12,2020,1,2021,"MHL",1
1,2021,1,2021,"PI_BM",9
1,2021,1,2021,"VCT",4
1,2021,2,2021,"RINA",2
1,2021,1,2021,"NK",63
1,2021,2,2021,"BLZ",1
1,2021,2,2021,"TUV",1
2,2021,2,2021,"BV",29
