"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_LIKENESS"
1,2020,1,2020,"PI_ST",25
1,2020,1,2020,"NG",64
1,2020,1,2020,"BV",75
1,2020,2,2020,"PI_GA",16
1,2020,1,2020,"VCT",5
1,2020,4,2020,"PH",1
1,2020,2,2020,"PH",1
1,2020,1,2020,"CAN",1
1,2020,1,2020,"BLZ",3
1,2020,1,2020,"KIR",1
2,2020,2,2020,"RINA",51
2,2020,2,2020,"PI_GA",19
2,2020,2,2020,"BLACKSEA",6
2,2020,2,2020,"TU",9
2,2020,2,2020,"GIB",1
2,2020,2,2020,"VN",14
2,2020,2,2020,"MLT",1
3,2020,3,2020,"BLZ",6
3,2020,3,2020,"VUT",7
3,2020,3,2020,"AMSA",7
3,2020,4,2020,"NG",2
3,2020,10,2020,"CS",1
3,2020,3,2020,"DB",15
3,2020,3,2020,"TGO",9
3,2020,8,2020,"NG",1
3,2020,3,2020,"PI_CA",2
4,2020,5,2020,"VUT",1
4,2020,4,2020,"GIB",1
4,2020,9,2020,"NK",2
4,2020,7,2020,"TU",3
4,2020,8,2020,"NIS",2
4,2020,8,2020,"KR",1
4,2020,8,2020,"NG",8
4,2020,4,2020,"CYP",2
4,2020,4,2020,"CAN",3
5,2020,5,2020,"PLW",4
5,2020,5,2020,"COK",1
5,2020,5,2020,"PI_SM",14
5,2020,6,2020,"PI_WE",7
5,2020,6,2020,"NIS",1
5,2020,5,2020,"DMA",1
5,2020,6,2020,"AMSA",1
6,2020,6,2020,"DB",2
6,2020,6,2020,"PI_GA",3
6,2020,6,2020,"NK",8
6,2020,8,2020,"VN",1
6,2020,6,2020,"MLT",3
6,2020,9,2020,"KR",6
6,2020,6,2020,"KI",121
6,2020,9,2020,"KI",187
6,2020,8,2020,"KI",7
6,2020,7,2020,"RINA",7
6,2020,8,2020,"CS",1
7,2020,7,2020,"TGO",3
7,2020,11,2020,"CS",1
7,2020,7,2020,"PI_GA",7
7,2020,10,2020,"MHL",1
7,2020,12,2020,"VCT",1
8,2020,11,2020,"CS",4
8,2020,11,2020,"TUR",1
8,2020,9,2020,"PI_ST",12
8,2020,12,2020,"CS",2
9,2020,10,2020,"PI_GA",22
9,2020,9,2020,"TUR",2
9,2020,12,2020,"TUR",4
9,2020,9,2020,"NK",1
9,2020,10,2020,"PI_SC",53
9,2020,10,2020,"BV",22
9,2020,12,2020,"PI_SM",1
9,2020,12,2020,"NG",7
9,2020,10,2020,"NG",23
10,2020,12,2020,"PI_GA",2
10,2020,12,2020,"PI_SC",2
10,2020,11,2020,"PI_SC",1
10,2020,10,2020,"CS",4
10,2020,11,2020,"ECU",4
10,2020,11,2020,"AMSA",1
10,2020,11,2020,"CS",1
11,2020,12,2020,"CS",2
11,2020,11,2020,"CS",1
12,2020,1,2021,"PI_SC",3
12,2020,12,2020,"MHL",1
12,2020,1,2021,"PI_SK",1
1,2021,1,2021,"NK",12
1,2021,1,2021,"PI_BM",1
1,2021,2,2021,"TUV",2
2,2021,2,2021,"BV",10
2,2021,2,2021,"NG",32
2,2021,2,2021,"PI_WE",3
1,2020,1,2020,"KNA",2
1,2020,1,2020,"KR",24
1,2020,2,2020,"BV",17
1,2020,1,2020,"MLT",9
1,2020,1,2020,"BLACKSEA",4
1,2020,1,2020,"RINA",23
1,2020,1,2020,"PI_JS",10
1,2020,4,2020,"NIS",1
1,2020,3,2020,"GIBSONS",3
1,2020,1,2020,"PAN",1
2,2020,2,2020,"PI_JS",3
2,2020,2,2020,"PH",12
2,2020,2,2020,"LBR",11
2,2020,2,2020,"COK",6
2,2020,2,2020,"VUT",6
2,2020,2,2020,"PI_LS",8
2,2020,2,2020,"NB",3
2,2020,12,2020,"NG",1
2,2020,3,2020,"MLT",1
2,2020,3,2020,"TUR",11
2,2020,4,2020,"PI_SK",1
2,2020,2,2020,"DMA",1
2,2020,3,2020,"MB",1
2,2020,3,2020,"IR",1
2,2020,3,2020,"KR",5
3,2020,3,2020,"NG",121
3,2020,3,2020,"KI",54
3,2020,3,2020,"BV",128
3,2020,3,2020,"PI_SM",36
3,2020,4,2020,"BV",1
3,2020,3,2020,"PI_SK",2
3,2020,3,2020,"LBR",35
3,2020,3,2020,"PLW",14
3,2020,6,2020,"NG",1
3,2020,3,2020,"RS",4
3,2020,3,2020,"PI_NE",2
3,2020,3,2020,"CM",2
3,2020,3,2020,"GIB",1
3,2020,9,2020,"PI_SM",3
4,2020,4,2020,"AB",36
4,2020,4,2020,"BLZ",3
4,2020,4,2020,"PI_CA",5
4,2020,7,2020,"PI_AM",1
4,2020,5,2020,"BV",3
4,2020,9,2020,"GEO",1
4,2020,4,2020,"NIS",4
4,2020,4,2020,"GHOST_VESSEL",3
4,2020,6,2020,"PI_ST",1
4,2020,4,2020,"KNA",3
4,2020,5,2020,"PI_SM",2
4,2020,5,2020,"MLT",2
5,2020,5,2020,"NK",26
5,2020,5,2020,"RINA",9
5,2020,6,2020,"PI_AM",3
5,2020,12,2020,"PI_AM",1
5,2020,8,2020,"PI_WE",1
5,2020,6,2020,"PI_ST",2
5,2020,6,2020,"NK",2
5,2020,7,2020,"NK",1
5,2020,5,2020,"AMSA",2
5,2020,6,2020,"TGO",4
6,2020,10,2020,"VUT",1
6,2020,6,2020,"TUR",11
6,2020,6,2020,"CS",11
6,2020,9,2020,"NIS",1
6,2020,6,2020,"PI_JS",2
6,2020,10,2020,"KI",15
6,2020,6,2020,"ML",4
6,2020,6,2020,"UKR",3
6,2020,8,2020,"PI_GA",2
7,2020,10,2020,"IR",1
7,2020,9,2020,"NG",1
7,2020,10,2020,"CS",16
7,2020,9,2020,"KR",1
7,2020,9,2020,"PI_ST",10
7,2020,8,2020,"BLACKSEA",1
8,2020,10,2020,"TGO",1
8,2020,9,2020,"KR",5
9,2020,10,2020,"LBR",1
9,2020,11,2020,"PI_BM",15
9,2020,12,2020,"PI_BM",1
9,2020,12,2020,"PI_SC",11
10,2020,11,2020,"BV",2
10,2020,12,2020,"BV",3
