"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_MANUAL_UPDATE"
1,2020,3,2020,"TUV",7
1,2020,5,2020,"BV",179
1,2020,1,2020,"BV",84
1,2020,2,2020,"PI_GA",8
1,2020,8,2020,"BV",42
1,2020,1,2020,"NG",12
1,2020,4,2020,"NK",21
1,2020,5,2020,"VCT",5
1,2020,1,2020,"VCT",2
1,2020,3,2020,"DB",6
1,2020,4,2020,"PH",3
1,2020,2,2020,"PH",1
1,2020,9,2020,"MHL",34
1,2020,3,2020,"IR",3
1,2020,7,2020,"NIS",6
1,2020,8,2020,"AMSA",1
1,2020,5,2020,"MHL",15
1,2020,9,2020,"PI_SM",6
1,2020,7,2020,"PI_SM",5
1,2020,7,2020,"VZ",1
1,2020,3,2020,"BLACKSEA",5
1,2020,1,2020,"BLZ",1
1,2020,6,2020,"COK",2
1,2020,4,2020,"PLW",5
2,2020,2,2020,"TU",2
2,2020,7,2020,"LBR",1
2,2020,10,2020,"PI_WE",9
2,2020,2,2020,"VN",4
2,2020,2,2020,"MLT",1
2,2020,8,2020,"TUR",7
2,2020,4,2020,"CYP",1
2,2020,2,2020,"RINA",1
2,2020,8,2020,"HRV",2
2,2020,5,2020,"TGO",1
2,2020,8,2020,"IR",1
3,2020,4,2020,"NK",9
3,2020,9,2020,"PI_AM",14
3,2020,7,2020,"PI_AM",9
3,2020,7,2020,"IR",4
3,2020,5,2020,"PI_GA",10
3,2020,6,2020,"LBR",7
3,2020,8,2020,"PI_GA",8
3,2020,6,2020,"MHL",134
3,2020,7,2020,"BV",74
3,2020,5,2020,"PI_JS",17
3,2020,5,2020,"IOM",2
3,2020,9,2020,"PI_WE",7
3,2020,8,2020,"NG",113
3,2020,7,2020,"NIS",4
3,2020,5,2020,"VN",6
3,2020,4,2020,"NG",12
3,2020,7,2020,"MHL",17
4,2020,5,2020,"NK",38
4,2020,8,2020,"LBR",35
4,2020,9,2020,"LBR",12
4,2020,6,2020,"LBR",22
4,2020,10,2020,"PI_AM",9
4,2020,8,2020,"NG",104
4,2020,5,2020,"AMSA",1
4,2020,9,2020,"NK",29
4,2020,8,2020,"PI_WE",28
4,2020,9,2020,"CS",239
4,2020,7,2020,"TU",2
4,2020,7,2020,"MHL",50
4,2020,8,2020,"NIS",6
4,2020,9,2020,"KR",18
4,2020,12,2020,"PI_SK",880
