"RESOLVED_MONTH","RESOLVED_YEAR","RESOLVED_BY","NUM_PER_ANALYST"
1,2020,"MERIT_KOTHANDARAMAN",90
3,2020,"MERIT_SRINIVASAMURTHYT",295
,,"",0
4,2020,"MERIT_PONRAJ",487
2,2020,"MERIT_VELU",103
2,2020,"MERIT_KARUNAKARAN",109
3,2020,"MERIT_KARUNAKARAN",330
2,2020,"AYLETT",36
8,2020,"MERIT_VELU",225
3,2020,"BLOICE",23
6,2020,"MERIT_RAMACHANDRAN",52
2,2020,"MERIT_PACKIARAJ",88
8,2020,"MERIT_RAMAN",60
6,2020,"MERIT_KALIYAPERUMAL",35
12,2020,"STOCK",35
4,2020,"MERIT_KOTHANDARAMAN",112
12,2020,"MERIT_RAMACHANDRAN",216
1,2021,"MERIT_MONICCA",234
11,2020,"MERIT_VELU",97
10,2020,"AYLETT",47
7,2020,"BLOICE",43
10,2020,"MERIT_VELU",182
11,2020,"STOCK",16
11,2020,"MERIT_MONICCA",95
5,2020,"TITCOMBE",3
10,2020,"MERIT_PONRAJ",202
2,2021,"AYLETT",16
12,2020,"MERIT_SRINIVASAMURTHYT",47
1,2021,"STOMA",8
1,2021,"MERIT_PONRAJ",140
2,2021,"STOMA",5
1,2021,"MERIT_KALIYAPERUMAL",67
1,2020,"MERIT_PACKIARAJ",97
3,2020,"MERIT_VELU",366
1,2020,"STOCK",39
1,2020,"AYLETT",13
6,2020,"MERIT_RAMAN",19
7,2020,"MERIT_KARUNAKARAN",52
4,2020,"BLOICE",20
7,2020,"MERIT_KOTHANDARAMAN",20
6,2020,"MERIT_PONRAJ",128
6,2020,"MERIT_VELU",95
11,2020,"MERIT_RAMAN",115
1,2021,"MERIT_PALANIVEL",88
10,2020,"MERIT_MONICCA",54
3,2020,"VDP",8
6,2020,"MERIT_MONICCA",9
11,2020,"MERIT_PALANIVEL",47
6,2020,"BLOICE",27
6,2020,"MERIT_LIYAKATHA",28
8,2020,"MERIT_SRINIVASAMURTHYT",12
12,2020,"MERIT_VENUGOPAL",26
10,2020,"MERIT_RAMACHANDRAN",247
9,2020,"BLOICE",23
12,2020,"MERIT_KARUNAKARAN",38
12,2020,"VDP",281
1,2021,"MERIT_LIYAKATHA",100
1,2021,"MERIT_RAMACHANDRAN",119
2,2021,"MERIT_RAMACHANDRAN",131
2,2021,"MERIT_PALANIVEL",41
2,2021,"MERIT_SRINIVASAMURTHYT",6
1,2020,"MERIT_PONRAJ",183
3,2020,"AYLETT",16
9,2020,"MERIT_VELU",153
2,2020,"BLOICE",23
3,2020,"MERIT_PACKIARAJ",123
4,2020,"MERIT_MONICCA",43
7,2020,"MERIT_MONICCA",109
1,2020,"BOYLE",1
7,2020,"MERIT_VENUGOPAL",113
3,2020,"TITCOMBE",29
10,2020,"STOCK",77
5,2020,"MERIT_KOTHANDARAMAN",161
6,2020,"AYLETT",23
11,2020,"MERIT_RAMACHANDRAN",128
2,2020,"VDP",5
10,2020,"MERIT_KOTHANDARAMAN",250
7,2020,"MERIT_PONRAJ",61
8,2020,"MERIT_KARUNAKARAN",44
6,2020,"MERIT_SRINIVASAMURTHYT",652
10,2020,"MERIT_KARUNAKARAN",260
1,2021,"MERIT_RAMAN",107
9,2020,"VDP",38
5,2020,"STOMA",2
8,2020,"STOCK",16
12,2020,"MERIT_LIYAKATHA",211
10,2020,"BLOICE",20
9,2020,"MERIT_VENUGOPAL",38
10,2020,"MERIT_PALANIVEL",49
11,2020,"VDP",103
12,2020,"STOMA",5
2,2021,"MERIT_LIYAKATHA",83
1,2020,"MERIT_KARUNAKARAN",82
3,2020,"MERIT_KOTHANDARAMAN",142
4,2020,"MERIT_KARUNAKARAN",230
9,2020,"MERIT_RAMACHANDRAN",675
1,2020,"TITCOMBE",23
5,2020,"MERIT_VELU",178
2,2020,"MERIT_PONRAJ",268
11,2020,"MERIT_KOTHANDARAMAN",104
1,2020,"MERIT_SRINIVASAMURTHYT",1
12,2020,"MERIT_MONICCA",273
6,2020,"STOCK",37
8,2020,"MERIT_LIYAKATHA",39
9,2020,"STOCK",26
4,2020,"VDP",3
8,2020,"STOMA",3
10,2020,"VDP",142
10,2020,"KRANTZ",3
2,2021,"MERIT_VENUGOPAL",8
12,2020,"AYLETT",6
2,2021,"MERIT_PONRAJ",100
1,2021,"MERIT_SRINIVASAMURTHYT",2
2,2021,"VDP",30
2,2020,"MERIT_VENUGOPAL",107
3,2020,"MERIT_PONRAJ",504
1,2020,"BLOICE",22
8,2020,"MERIT_KOTHANDARAMAN",569
7,2020,"MERIT_LIYAKATHA",16
9,2020,"MERIT_KOTHANDARAMAN",776
6,2020,"MERIT_KOTHANDARAMAN",79
8,2020,"MERIT_MONICCA",327
3,2020,"STOCK",34
1,2020,"VDP",8
4,2020,"AYLETT",5
4,2020,"MERIT_VENUGOPAL",178
10,2020,"MERIT_KALIYAPERUMAL",35
7,2020,"MERIT_RAMACHANDRAN",69
8,2020,"BLOICE",30
7,2020,"AYLETT",49
1,2021,"MERIT_VENUGOPAL",45
9,2020,"MERIT_RAMAN",22
12,2020,"MERIT_RAMAN",159
10,2020,"MERIT_LIYAKATHA",63
9,2020,"MERIT_KALIYAPERUMAL",9
6,2020,"COPPERWHEAT",1
1,2021,"AYLETT",11
8,2020,"VDP",5
11,2020,"MERIT_VENUGOPAL",16
2,2021,"MERIT_RAMAN",76
1,2021,"MERIT_VELU",2
1,2021,"MERIT_KARUNAKARAN",7
