"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_IGNORED"
1,2020,1,2020,"PI_ST",82
1,2020,1,2020,"NG",296
1,2020,1,2020,"BV",621
1,2020,2,2020,"PI_GA",198
1,2020,4,2020,"PI_BR",1
1,2020,9,2020,"PI_SM",18
1,2020,3,2020,"CUW",1
1,2020,1,2020,"VCT",18
1,2020,3,2020,"DB",24
1,2020,4,2020,"PH",11
1,2020,2,2020,"PH",12
1,2020,5,2020,"CS",4
1,2020,3,2020,"IR",4
1,2020,1,2020,"CAN",1
1,2020,1,2020,"BLZ",5
1,2020,3,2020,"BLACKSEA",230
1,2020,1,2020,"KIR",1
2,2020,8,2020,"PI_AM",6
2,2020,2,2020,"RINA",190
2,2020,2,2020,"PI_GA",75
2,2020,2,2020,"BLACKSEA",14
2,2020,2,2020,"TU",42
2,2020,9,2020,"PI_SK",4
2,2020,2,2020,"VN",69
2,2020,6,2020,"PI_WE",7
2,2020,2,2020,"GIB",1
2,2020,4,2020,"IB",104
2,2020,8,2020,"TUR",27
2,2020,8,2020,"AMSA",1
2,2020,2,2020,"MLT",1
2,2020,4,2020,"HRV",3
3,2020,3,2020,"BLZ",6
3,2020,3,2020,"VUT",8
3,2020,3,2020,"AMSA",12
3,2020,8,2020,"NG",56
3,2020,8,2020,"VUT",1
3,2020,3,2020,"TGO",11
3,2020,4,2020,"NK",18
3,2020,9,2020,"PI_WE",115
3,2020,4,2020,"NG",30
3,2020,5,2020,"CS",50
3,2020,10,2020,"CS",1
3,2020,3,2020,"DB",63
3,2020,6,2020,"GIBSONS",1
3,2020,8,2020,"PI_GA",7
3,2020,3,2020,"PI_CA",2
3,2020,6,2020,"MHL",78
4,2020,9,2020,"LBR",60
4,2020,8,2020,"LBR",34
4,2020,6,2020,"LBR",22
4,2020,5,2020,"VUT",2
4,2020,8,2020,"PI_WE",108
4,2020,8,2020,"AMSA",1
4,2020,4,2020,"GIB",1
4,2020,9,2020,"NK",61
4,2020,5,2020,"NK",11
4,2020,7,2020,"TU",19
4,2020,9,2020,"IR",4
4,2020,8,2020,"NIS",4
4,2020,8,2020,"NG",77
4,2020,8,2020,"KR",14
4,2020,9,2020,"KR",32
4,2020,10,2020,"PI_SK",490
4,2020,12,2020,"PI_SK",365
4,2020,4,2020,"CYP",2
4,2020,9,2020,"PI_SM",41
4,2020,9,2020,"CS",15
4,2020,9,2020,"AMSA",1
4,2020,4,2020,"CAN",3
4,2020,5,2020,"AMSA",1
5,2020,5,2020,"PLW",4
5,2020,9,2020,"LBR",15
5,2020,5,2020,"COK",1
5,2020,5,2020,"PI_SM",58
5,2020,6,2020,"NB",1
5,2020,9,2020,"BLACKSEA",35
5,2020,6,2020,"PI_WE",77
5,2020,6,2020,"NIS",2
5,2020,7,2020,"PI_ST",13
5,2020,8,2020,"VN",1
5,2020,8,2020,"NK",23
5,2020,8,2020,"AMSA",2
5,2020,5,2020,"DMA",2
5,2020,8,2020,"PI_SM",23
5,2020,6,2020,"AMSA",1
5,2020,8,2020,"TGO",1
6,2020,6,2020,"PI_GA",18
6,2020,7,2020,"PI_AM",1
6,2020,6,2020,"DB",2
6,2020,6,2020,"MLT",7
6,2020,6,2020,"NK",94
6,2020,9,2020,"NK",12
6,2020,8,2020,"VN",8
6,2020,8,2020,"CS",277
6,2020,9,2020,"KR",87
6,2020,6,2020,"KI",1686
6,2020,9,2020,"KI",2957
6,2020,8,2020,"KI",221
6,2020,12,2020,"PI_SM",8
6,2020,7,2020,"PI_SM",2
6,2020,7,2020,"RINA",57
6,2020,9,2020,"MHL",20
6,2020,7,2020,"FRO",1
6,2020,9,2020,"UKR",40
6,2020,12,2020,"UKR",2
6,2020,8,2020,"MLT",1
6,2020,10,2020,"PI_GA",2
7,2020,9,2020,"LBR",8
7,2020,8,2020,"LBR",9
7,2020,10,2020,"BLACKSEA",68
7,2020,12,2020,"BLACKSEA",4
7,2020,9,2020,"PI_AM",6
7,2020,7,2020,"KI",152
7,2020,7,2020,"TGO",4
7,2020,7,2020,"PI_GA",46
7,2020,9,2020,"NB",7
7,2020,9,2020,"PI_SK",274
7,2020,8,2020,"PI_WE",15
7,2020,9,2020,"PI_WE",29
7,2020,11,2020,"CS",754
7,2020,10,2020,"CUW",12
7,2020,7,2020,"TU",18
7,2020,7,2020,"COK",5
7,2020,8,2020,"VUT",1
7,2020,8,2020,"PI_ST",118
7,2020,7,2020,"PLW",3
7,2020,10,2020,"MHL",12
7,2020,8,2020,"PI_SM",5
7,2020,8,2020,"GIBSONS",1
7,2020,9,2020,"GIBSONS",4
7,2020,10,2020,"VDM",1
7,2020,7,2020,"RS",2
7,2020,12,2020,"VCT",3
8,2020,8,2020,"PI_SM",23
8,2020,2,2021,"BV",3
8,2020,11,2020,"CS",717
8,2020,12,2020,"CS",466
8,2020,11,2020,"BLACKSEA",12
8,2020,11,2020,"TUR",11
8,2020,8,2020,"MLT",5
8,2020,9,2020,"PI_ST",44
8,2020,11,2020,"PI_WE",15
8,2020,10,2020,"PI_JS",7
8,2020,10,2020,"GIB",156
8,2020,9,2020,"PLW",6
8,2020,11,2020,"VDM",22
9,2020,9,2020,"NK",72
9,2020,10,2020,"BV",172
9,2020,1,2021,"VCT",1
9,2020,10,2020,"PI_SC",327
9,2020,10,2020,"BLACKSEA",44
9,2020,10,2020,"PI_GA",31
9,2020,10,2020,"NG",54
9,2020,12,2020,"PI_SM",17
9,2020,12,2020,"TUR",28
9,2020,9,2020,"TUR",25
9,2020,11,2020,"PI_JS",15
9,2020,9,2020,"AB",2
9,2020,12,2020,"NG",39
9,2020,12,2020,"GIB",96
9,2020,10,2020,"MLT",2
9,2020,9,2020,"MLT",2
9,2020,11,2020,"GIBSONS",1
9,2020,9,2020,"GHOST_VESSEL",1
9,2020,10,2020,"PH",5
9,2020,12,2020,"FRO",4
10,2020,12,2020,"PI_GA",11
10,2020,10,2020,"CS",786
10,2020,12,2020,"PI_SC",7
10,2020,11,2020,"PI_SC",5
10,2020,1,2021,"PI_WE",5
10,2020,11,2020,"CS",146
10,2020,12,2020,"LR",6
10,2020,11,2020,"ECU",16
10,2020,11,2020,"AMSA",5
10,2020,12,2020,"PI_ST",7
10,2020,10,2020,"VN",5
10,2020,10,2020,"GEO",6
10,2020,10,2020,"BK",2
10,2020,11,2020,"BLACKSEA",94
10,2020,10,2020,"DB",3
11,2020,11,2020,"CS",22
11,2020,12,2020,"LBR",15
11,2020,11,2020,"NG",16
11,2020,11,2020,"MLT",5
11,2020,12,2020,"CS",98
11,2020,11,2020,"VZ",1
11,2020,12,2020,"AMSA",1
11,2020,1,2021,"PI_BR",1
12,2020,12,2020,"BV",79
12,2020,12,2020,"MHL",56
12,2020,12,2020,"DB",8
12,2020,1,2021,"PI_SC",3
12,2020,12,2020,"KP",5
12,2020,12,2020,"TU",10
12,2020,12,2020,"NB",3
12,2020,1,2021,"PLW",1
12,2020,1,2021,"PI_SK",2
12,2020,1,2021,"MHL",4
1,2021,1,2021,"PI_BM",22
1,2021,1,2021,"VCT",4
1,2021,1,2021,"NK",95
1,2021,2,2021,"BLZ",1
1,2021,2,2021,"TUV",1
2,2021,2,2021,"BV",12
2,2021,2,2021,"NG",12
2,2021,2,2021,"PI_WE",1
2,2021,2,2021,"IOM",1
10,2020,11,2020,"",0
1,2020,1,2020,"KNA",2
1,2020,1,2020,"KR",295
1,2020,7,2020,"PI_BR",1
1,2020,9,2020,"PI_GA",14
1,2020,4,2020,"PI_SM",37
1,2020,3,2020,"PI_SK",280
1,2020,1,2020,"PI_JS",31
1,2020,2,2020,"BV",1226
1,2020,1,2020,"MLT",9
1,2020,1,2020,"BLACKSEA",11
1,2020,1,2020,"RINA",52
1,2020,9,2020,"NK",5
1,2020,8,2020,"NK",1
1,2020,3,2020,"VN",13
1,2020,4,2020,"NIS",2
1,2020,8,2020,"VUT",1
1,2020,9,2020,"GIBSONS",5
1,2020,3,2020,"GIBSONS",21
1,2020,1,2020,"PAN",1
1,2020,1,2020,"PI_BR",1
1,2020,6,2020,"TUV",3
2,2020,2,2020,"PI_JS",18
2,2020,2,2020,"PH",46
2,2020,2,2020,"LBR",43
2,2020,2,2020,"COK",11
2,2020,2,2020,"VUT",6
2,2020,3,2020,"PI_SK",245
2,2020,3,2020,"MHL",156
2,2020,3,2020,"TUR",241
2,2020,3,2020,"NB",12
2,2020,8,2020,"LBR",34
2,2020,8,2020,"BLACKSEA",3
2,2020,2,2020,"PI_LS",8
2,2020,8,2020,"PI_GA",6
2,2020,3,2020,"PI_GA",13
2,2020,7,2020,"KR",40
2,2020,2,2020,"NB",3
2,2020,12,2020,"NG",10
2,2020,8,2020,"NG",5
2,2020,3,2020,"MLT",2
2,2020,4,2020,"PI_SK",216
2,2020,6,2020,"NG",1
2,2020,3,2020,"PLW",3
2,2020,3,2020,"KR",67
2,2020,2,2020,"DMA",1
2,2020,8,2020,"PI_ST",75
2,2020,3,2020,"MB",1
2,2020,4,2020,"MB",1
2,2020,3,2020,"IR",28
3,2020,3,2020,"NG",531
3,2020,3,2020,"KI",216
3,2020,3,2020,"BV",2231
3,2020,3,2020,"PI_SM",371
3,2020,5,2020,"PI_AM",3
3,2020,9,2020,"LBR",8
3,2020,3,2020,"LBR",134
3,2020,3,2020,"PI_SK",1705
3,2020,4,2020,"BV",214
3,2020,6,2020,"BLACKSEA",12
3,2020,3,2020,"PLW",14
3,2020,4,2020,"NB",11
3,2020,6,2020,"NG",13
3,2020,5,2020,"PI_WE",103
3,2020,4,2020,"PI_WE",11
3,2020,10,2020,"PI_WE",7
3,2020,3,2020,"RS",4
3,2020,4,2020,"CS",3
3,2020,9,2020,"CS",2
3,2020,8,2020,"PI_ST",20
3,2020,9,2020,"PI_SM",208
3,2020,3,2020,"PI_NE",2
3,2020,3,2020,"CM",2
3,2020,3,2020,"GIB",1
3,2020,8,2020,"PI_SM",253
3,2020,6,2020,"BV",34
3,2020,8,2020,"MHL",139
4,2020,4,2020,"AB",41
4,2020,4,2020,"BLZ",3
4,2020,4,2020,"PI_CA",5
4,2020,5,2020,"BV",569
4,2020,7,2020,"BLACKSEA",11
4,2020,7,2020,"PI_AM",20
4,2020,9,2020,"GEO",3
4,2020,4,2020,"NIS",7
4,2020,4,2020,"GHOST_VESSEL",3
4,2020,11,2020,"NG",6
4,2020,6,2020,"PI_ST",40
4,2020,7,2020,"PI_ST",61
4,2020,12,2020,"PI_ST",312
4,2020,1,2021,"PI_ST",22
4,2020,8,2020,"MHL",59
4,2020,6,2020,"LR",25
4,2020,9,2020,"NG",16
4,2020,6,2020,"MHL",26
4,2020,4,2020,"KNA",3
4,2020,5,2020,"PI_SM",57
4,2020,8,2020,"CS",2
4,2020,4,2020,"KP",1
4,2020,5,2020,"MLT",2
5,2020,5,2020,"NK",164
5,2020,5,2020,"RINA",29
5,2020,5,2020,"AMSA",3
5,2020,6,2020,"RINA",7
5,2020,6,2020,"NK",46
5,2020,6,2020,"PI_AM",44
