"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_LIKENESS"
1,2020,1,2020,"PI_ST",82
1,2020,1,2020,"NG",202
1,2020,1,2020,"BV",476
1,2020,2,2020,"PI_GA",97
1,2020,1,2020,"VCT",18
1,2020,4,2020,"PH",3
1,2020,2,2020,"PH",8
1,2020,1,2020,"CAN",1
1,2020,1,2020,"BLZ",3
1,2020,1,2020,"KIR",1
2,2020,2,2020,"RINA",119
2,2020,2,2020,"PI_GA",69
2,2020,2,2020,"BLACKSEA",6
2,2020,2,2020,"TU",42
2,2020,2,2020,"GIB",1
2,2020,2,2020,"VN",66
2,2020,2,2020,"MLT",1
3,2020,3,2020,"BLZ",6
3,2020,3,2020,"VUT",7
3,2020,3,2020,"AMSA",7
3,2020,4,2020,"NG",8
3,2020,10,2020,"CS",1
3,2020,3,2020,"DB",53
3,2020,3,2020,"TGO",9
3,2020,8,2020,"NG",6
3,2020,3,2020,"PI_CA",2
3,2020,6,2020,"MHL",46
4,2020,5,2020,"VUT",1
4,2020,4,2020,"GIB",1
4,2020,9,2020,"NK",7
4,2020,7,2020,"TU",19
4,2020,8,2020,"NIS",4
4,2020,8,2020,"NG",55
4,2020,8,2020,"KR",14
4,2020,4,2020,"CYP",2
4,2020,9,2020,"KR",13
4,2020,4,2020,"CAN",3
5,2020,5,2020,"PLW",4
5,2020,5,2020,"COK",1
5,2020,5,2020,"PI_SM",38
5,2020,6,2020,"PI_WE",70
5,2020,6,2020,"NIS",2
5,2020,5,2020,"DMA",2
5,2020,6,2020,"AMSA",1
6,2020,6,2020,"PI_GA",15
6,2020,6,2020,"DB",2
6,2020,6,2020,"MLT",4
6,2020,6,2020,"NK",33
6,2020,8,2020,"VN",8
6,2020,9,2020,"KR",84
6,2020,6,2020,"KI",1426
6,2020,9,2020,"KI",2081
6,2020,8,2020,"KI",81
6,2020,7,2020,"RINA",51
6,2020,8,2020,"CS",27
7,2020,7,2020,"TGO",3
7,2020,11,2020,"CS",95
7,2020,7,2020,"PI_GA",24
7,2020,10,2020,"MHL",12
7,2020,12,2020,"VCT",3
8,2020,11,2020,"CS",783
8,2020,11,2020,"TUR",7
8,2020,9,2020,"PI_ST",86
8,2020,12,2020,"CS",252
9,2020,10,2020,"PI_GA",45
9,2020,10,2020,"NG",72
9,2020,9,2020,"TUR",7
9,2020,12,2020,"TUR",24
9,2020,11,2020,"PI_JS",6
9,2020,9,2020,"NK",6
9,2020,10,2020,"PI_SC",283
9,2020,10,2020,"BV",121
9,2020,12,2020,"NG",14
9,2020,12,2020,"PI_SM",3
10,2020,12,2020,"PI_GA",2
10,2020,12,2020,"PI_SC",7
10,2020,11,2020,"PI_SC",5
