"RESOLVED_MONTH","RESOLVED_YEAR","RESOLVED_BY","NUM_PER_ANALYST"
1,2020,"MERIT_KOTHANDARAMAN",630
3,2020,"MERIT_SRINIVASAMURTHYT",3919
,,"",0
4,2020,"MERIT_PONRAJ",3464
2,2020,"MERIT_VELU",242
2,2020,"MERIT_KARUNAKARAN",337
3,2020,"MERIT_KARUNAKARAN",1509
2,2020,"AYLETT",1077
8,2020,"MERIT_VELU",2683
3,2020,"BLOICE",47
6,2020,"MERIT_RAMACHANDRAN",1462
2,2020,"MERIT_PACKIARAJ",291
8,2020,"MERIT_RAMAN",509
6,2020,"MERIT_KALIYAPERUMAL",219
12,2020,"STOCK",104
4,2020,"MERIT_KOTHANDARAMAN",1328
12,2020,"MERIT_RAMACHANDRAN",825
1,2021,"MERIT_MONICCA",497
11,2020,"MERIT_VELU",335
10,2020,"AYLETT",244
7,2020,"BLOICE",661
10,2020,"MERIT_VELU",623
11,2020,"STOCK",415
11,2020,"MERIT_MONICCA",508
5,2020,"TITCOMBE",3
10,2020,"MERIT_PONRAJ",1328
2,2021,"AYLETT",44
12,2020,"MERIT_SRINIVASAMURTHYT",318
1,2021,"STOMA",28
1,2021,"MERIT_PONRAJ",250
1,2021,"MERIT_KALIYAPERUMAL",118
1,2020,"MERIT_PACKIARAJ",346
3,2020,"MERIT_VELU",1610
1,2020,"STOCK",200
1,2020,"AYLETT",37
6,2020,"MERIT_RAMAN",356
7,2020,"MERIT_KARUNAKARAN",185
4,2020,"BLOICE",479
7,2020,"MERIT_KOTHANDARAMAN",143
6,2020,"MERIT_PONRAJ",979
6,2020,"MERIT_VELU",2423
11,2020,"MERIT_RAMAN",736
1,2021,"MERIT_PALANIVEL",226
10,2020,"MERIT_MONICCA",375
3,2020,"VDP",74
6,2020,"MERIT_MONICCA",99
11,2020,"MERIT_PALANIVEL",399
6,2020,"BLOICE",168
6,2020,"MERIT_LIYAKATHA",717
8,2020,"MERIT_SRINIVASAMURTHYT",30
12,2020,"MERIT_VENUGOPAL",313
10,2020,"MERIT_RAMACHANDRAN",1822
9,2020,"BLOICE",102
12,2020,"MERIT_KARUNAKARAN",89
12,2020,"VDP",1093
1,2021,"MERIT_LIYAKATHA",197
1,2021,"MERIT_RAMACHANDRAN",202
2,2021,"MERIT_RAMACHANDRAN",125
2,2021,"MERIT_PALANIVEL",43
2,2021,"MERIT_SRINIVASAMURTHYT",2
1,2020,"MERIT_PONRAJ",998
3,2020,"AYLETT",64
9,2020,"MERIT_VELU",1049
2,2020,"BLOICE",303
3,2020,"MERIT_PACKIARAJ",2158
4,2020,"MERIT_MONICCA",184
7,2020,"MERIT_MONICCA",1891
1,2020,"BOYLE",1
7,2020,"MERIT_VENUGOPAL",1068
3,2020,"TITCOMBE",115
10,2020,"STOCK",399
5,2020,"MERIT_KOTHANDARAMAN",1671
6,2020,"AYLETT",408
11,2020,"MERIT_RAMACHANDRAN",1851
2,2020,"VDP",147
10,2020,"MERIT_KOTHANDARAMAN",2561
7,2020,"MERIT_PONRAJ",748
8,2020,"MERIT_KARUNAKARAN",482
6,2020,"MERIT_SRINIVASAMURTHYT",53189
10,2020,"MERIT_KARUNAKARAN",1041
1,2021,"MERIT_RAMAN",250
9,2020,"VDP",1936
5,2020,"STOMA",2
8,2020,"STOCK",43
12,2020,"MERIT_LIYAKATHA",2641
10,2020,"BLOICE",40
9,2020,"MERIT_VENUGOPAL",256
10,2020,"MERIT_PALANIVEL",351
11,2020,"VDP",1320
12,2020,"STOMA",10
2,2021,"MERIT_LIYAKATHA",44
1,2020,"MERIT_KARUNAKARAN",240
3,2020,"MERIT_KOTHANDARAMAN",381
4,2020,"MERIT_KARUNAKARAN",1510
9,2020,"MERIT_RAMACHANDRAN",27033
1,2020,"TITCOMBE",141
5,2020,"MERIT_VELU",3762
2,2020,"MERIT_PONRAJ",1071
11,2020,"MERIT_KOTHANDARAMAN",883
1,2020,"MERIT_SRINIVASAMURTHYT",2
12,2020,"MERIT_MONICCA",1115
6,2020,"STOCK",1119
8,2020,"MERIT_LIYAKATHA",188
9,2020,"STOCK",104
4,2020,"VDP",13
8,2020,"STOMA",8
10,2020,"VDP",2791
10,2020,"KRANTZ",9
2,2021,"MERIT_VENUGOPAL",10
12,2020,"AYLETT",8
2,2021,"MERIT_PONRAJ",54
1,2021,"MERIT_SRINIVASAMURTHYT",12
2,2021,"VDP",10
2,2020,"MERIT_VENUGOPAL",642
3,2020,"MERIT_PONRAJ",3046
1,2020,"BLOICE",360
8,2020,"MERIT_KOTHANDARAMAN",9667
7,2020,"MERIT_LIYAKATHA",41
9,2020,"MERIT_KOTHANDARAMAN",22250
6,2020,"MERIT_KOTHANDARAMAN",485
8,2020,"MERIT_MONICCA",4845
3,2020,"STOCK",195
1,2020,"VDP",97
4,2020,"AYLETT",13
4,2020,"MERIT_VENUGOPAL",1923
10,2020,"MERIT_KALIYAPERUMAL",235
7,2020,"MERIT_RAMACHANDRAN",1421
8,2020,"BLOICE",140
7,2020,"AYLETT",446
1,2021,"MERIT_VENUGOPAL",239
9,2020,"MERIT_RAMAN",582
12,2020,"MERIT_RAMAN",822
10,2020,"MERIT_LIYAKATHA",479
9,2020,"MERIT_KALIYAPERUMAL",27
6,2020,"COPPERWHEAT",1
1,2021,"AYLETT",40
8,2020,"VDP",22
11,2020,"MERIT_VENUGOPAL",46
2,2021,"MERIT_RAMAN",50
1,2021,"MERIT_VELU",3
1,2021,"MERIT_KARUNAKARAN",11
1,2020,"MERIT_VENUGOPAL",232
4,2020,"MERIT_VELU",1688
8,2020,"MERIT_PONRAJ",5801
5,2020,"MERIT_RAMACHANDRAN",2149
2,2020,"MERIT_SRINIVASAMURTHYT",1637
2,2020,"MERIT_KOTHANDARAMAN",355
2,2020,"MERIT_MONICCA",697
2,2020,"STOCK",1926
8,2020,"MERIT_KALIYAPERUMAL",272
9,2020,"MERIT_MONICCA",1468
4,2020,"MERIT_SRINIVASAMURTHYT",9621
10,2020,"MERIT_SRINIVASAMURTHYT",565
4,2020,"TITCOMBE",33
7,2020,"STOCK",2298
7,2020,"MERIT_RAMAN",99
12,2020,"MERIT_PONRAJ",1028
5,2020,"AYLETT",83
7,2020,"MERIT_SRINIVASAMURTHYT",4323
11,2020,"MERIT_LIYAKATHA",1363
5,2020,"BLOICE",118
9,2020,"MERIT_KARUNAKARAN",970
12,2020,"MERIT_KOTHANDARAMAN",559
9,2020,"MERIT_PALANIVEL",524
12,2020,"MERIT_KALIYAPERUMAL",862
11,2020,"MERIT_KALIYAPERUMAL",677
9,2020,"AYLETT",370
5,2020,"VDP",446
12,2020,"MERIT_VELU",771
11,2020,"AYLETT",132
6,2020,"VDP",51
7,2020,"VDP",1482
10,2020,"MERIT_VENUGOPAL",259
1,2021,"VDP",255
2,2021,"MERIT_KOTHANDARAMAN",160
3,2020,"MERIT_RAMACHANDRAN",2626
5,2020,"MERIT_KARUNAKARAN",2916
5,2020,"MERIT_PONRAJ",1266
2,2020,"TITCOMBE",30
5,2020,"MERIT_VENUGOPAL",1661
8,2020,"MERIT_RAMACHANDRAN",5868
9,2020,"MERIT_PONRAJ",19581
4,2020,"MERIT_RAMACHANDRAN",786
12,2020,"MERIT_PALANIVEL",1502
6,2020,"MERIT_VENUGOPAL",2153
5,2020,"MERIT_SRINIVASAMURTHYT",9602
5,2020,"STOCK",876
7,2020,"STOMA",12
11,2020,"MERIT_PONRAJ",1589
7,2020,"MERIT_KALIYAPERUMAL",57
11,2020,"MERIT_KARUNAKARAN",297
8,2020,"AYLETT",199
9,2020,"STOMA",27
11,2020,"MERIT_SRINIVASAMURTHYT",638
11,2020,"STOMA",9
9,2020,"MERIT_LIYAKATHA",250
2,2021,"HARDEN",19
2,2021,"MERIT_KALIYAPERUMAL",29
1,2020,"MERIT_VELU",523
3,2020,"MERIT_MONICCA",3027
1,2020,"MERIT_MONICCA",572
3,2020,"MERIT_VENUGOPAL",627
7,2020,"MERIT_VELU",787
8,2020,"MERIT_VENUGOPAL",543
4,2020,"STOCK",9509
6,2020,"MERIT_KARUNAKARAN",589
9,2020,"MERIT_SRINIVASAMURTHYT",284
10,2020,"MERIT_RAMAN",280
1,2021,"MERIT_KOTHANDARAMAN",353
2,2021,"MERIT_VELU",13
2,2021,"MERIT_MONICCA",124
